am_sid.x,am_cat,sciname,iucn_sid.x,pop_trend,pop_cat,spp_group,id_no,iucn_subpop,spatial_source,cat_score,trend_score
Fis-49672,NA,Bajacalifornia calcarata,57453743,Unknown,LC,NA,NA,NA,am,0,NA
Fis-27598,NA,Bajacalifornia megalops,15147816,Unknown,LC,NA,NA,NA,am,0,NA
Fis-28109,NA,Barbantus curvifrons,18155933,Unknown,LC,NA,NA,NA,am,0,NA
Fis-30920,NA,Barbourisia rufa,21110276,Unknown,LC,NA,NA,NA,am,0,NA
Fis-62428,NA,Bassozetus compressus,190154,Unknown,LC,NA,NA,NA,am,0,NA
Fis-32820,NA,Bathygadus favosus,15522061,Unknown,LC,NA,NA,NA,am,0,NA
Fis-34857,NA,Bathylagus euryops,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-15353,NT,Bathyraja spinicauda,161366,Unknown,NT,NA,NA,NA,am,0.2,NA
Fis-34863,NA,Bathysaurus ferox,13462491,Unknown,LC,NA,NA,NA,am,0,NA
Fis-112634,NA,Bathysolea polli,15622630,Unknown,LC,NA,NA,NA,am,0,NA
Fis-22717,NA,Belone belone,198573,Unknown,LC,NA,NA,NA,am,0,NA
Fis-49913,NA,Benthalbella infans,13485675,Unknown,LC,NA,NA,NA,am,0,NA
Fis-27230,LC,Benthocometes robustus,154929,Unknown,LC,NA,NA,NA,am,0,NA
Fis-27051,NA,Benthodesmus simonyi,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-22718,NA,Benthosema glaciale,198611,Stable,LC,NA,NA,NA,am,0,0
Fis-29731,NA,Beryx decadactylus,198578,Unknown,LC,NA,NA,NA,am,0,NA
Fis-22850,NA,Boreogadus saida,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-25455,NA,Borostomias antarcticus,198762,Unknown,LC,NA,NA,NA,am,0,NA
Fis-22852,NA,Brama brama,195091,Unknown,LC,NA,NA,NA,am,0,NA
Fis-22740,NA,Brosme brosme,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-33097,NA,Brotulotaenia crassa,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-22741,NA,Buenia jeffreysii,18159126,Unknown,LC,NA,NA,NA,am,0,NA
Fis-148858,NA,Bufoceratias wedli,18127809,Unknown,LC,NA,NA,NA,am,0,NA
Fis-22742,LC,Buglossidium luteum,155044,Unknown,LC,NA,NA,NA,am,0,NA
Fis-29313,NA,Callionymus lyra,198634,Unknown,LC,NA,NA,NA,am,0,NA
Fis-29752,NA,Callionymus maculatus,198635,Unknown,LC,NA,NA,NA,am,0,NA
Fis-22743,NA,Capros aper,198557,Unknown,LC,NA,NA,NA,am,0,NA
Fis-156828,NA,Careproctus longipinnis,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-48011,NA,Careproctus reinhardti,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-27247,NA,Cataetyx bruuni,60469552,Unknown,LC,NA,NA,NA,am,0,NA
Fis-33837,NA,Cataetyx laticeps,198623,Unknown,LC,NA,NA,NA,am,0,NA
Fis-53389,NA,Caulophryne jordani,190447,Unknown,LC,NA,NA,NA,am,0,NA
Fis-143859,NA,Caulophryne pelagica,60469615,Unknown,DD,NA,NA,NA,am,NA,NA
Fis-50370,NA,Caulophryne polynema,190447,Unknown,LC,NA,NA,NA,am,0,NA
Fis-22856,NA,Centrolophus niger,198571,Unknown,LC,NA,NA,NA,am,0,NA
Fis-23076,VU,Centrophorus squamosus,41871,Decreasing,VU,NA,NA,NA,am,0.4,-0.5
Fis-23078,LC,Centroscyllium fabricii,161521,Unknown,LC,NA,NA,NA,am,0,NA
Fis-29328,NT,Centroscymnus coelolepis,41747,Unknown,NT,NA,NA,NA,am,0.2,NA
Fis-23074,LC,Centroscymnus crepidater,46864,Unknown,LC,NA,NA,NA,am,0,NA
Fis-22746,NA,Cepola macrophthalma,198649,Unknown,LC,NA,NA,NA,am,0,NA
Fis-50569,NA,Ceratias uranoscopus,21112879,Unknown,LC,NA,NA,NA,am,0,NA
Fis-23087,NA,Ceratoscopelus maderensis,198612,Unknown,LC,NA,NA,NA,am,0,NA
Fis-33146,NA,Cetomimus gillii,190349,Unknown,DD,NA,NA,NA,am,NA,NA
Fis-33147,NA,Cetomimus hempeli,60469712,Unknown,DD,NA,NA,NA,am,NA,NA
Fis-50837,NA,Cetonurus globiceps,15522073,Unknown,LC,NA,NA,NA,am,0,NA
Fis-22747,VU,Cetorhinus maximus,4292,Decreasing,VU,NA,NA,NA,am,0.4,-0.5
Fis-29801,NA,Chauliodus sloani,190324,Unknown,LC,NA,NA,NA,am,0,NA
Fis-3310,NA,Chelidonichthys lucerna,198752,Unknown,LC,NA,NA,NA,am,0,NA
Fis-23954,LC,Chelon labrosus,135689,Unknown,LC,NA,NA,NA,am,0,NA
Fis-29808,NT,Chimaera monstrosa,63114,Stable,NT,NA,NA,NA,am,0.2,0
Fis-22749,NA,Chirolophis ascanii,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-29338,NT,Chlamydoselachus anguineus,41794,Unknown,NT,NA,NA,NA,am,0.2,NA
Fis-148964,NA,Chlorophthalmus atlanticus,194993,Unknown,LC,NA,NA,NA,am,0,NA
Fis-23439,NA,Ciliata mustela,18125362,Unknown,LC,NA,NA,NA,am,0,NA
Fis-23440,NA,Ciliata septentrionalis,18125379,Unknown,LC,NA,NA,NA,am,0,NA
Fis-25392,NA,Citharus linguatula,198726,Stable,LC,NA,NA,NA,am,0,0
Fis-29344,LC,Clupea harengus,155123,Increasing,LC,NA,NA,NA,am,0,0.5
Fis-153539,NA,Clupea pallasii pallasii,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-22866,NA,Conger conger,194969,Increasing,LC,NA,NA,NA,am,0,0.5
Fis-48198,LC,Coregonus autumnalis,NA,NA,LC,NA,NA,NA,am,0,NA
Fis-52418,VU,Coregonus lavaretus,NA,NA,VU,NA,NA,NA,am,0.4,NA
Fis-29858,LC,Coregonus sardinella,NA,NA,LC,NA,NA,NA,am,0,NA
Fis-25475,NA,Coryphaenoides armatus,18125776,Unknown,LC,NA,NA,NA,am,0,NA
Fis-63101,NA,Coryphaenoides brevibarbis,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-50737,NA,Coryphaenoides carapinus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-26887,NA,Coryphaenoides guentheri,198594,Unknown,LC,NA,NA,NA,am,0,NA
Fis-29359,NA,Coryphaenoides rupestris,15522149,Unknown,CR,NA,NA,NA,am,0.8,NA
Fis-33245,NA,Cottunculus microps,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-47646,NA,Cottunculus thomsonii,190065,Unknown,LC,NA,NA,NA,am,0,NA
Fis-29877,NA,Cryptopsaras couesii,190067,Unknown,LC,NA,NA,NA,am,0,NA
Fis-22751,NA,Crystallogobius linearis,198654,Stable,LC,NA,NA,NA,am,0,0
Fis-23453,NA,Cubiceps gracilis,198676,Unknown,LC,NA,NA,NA,am,0,NA
Fis-29361,NA,Cyclopterus lumpus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-31240,NA,Cyclothone acclinidens,18252612,Stable,LC,NA,NA,NA,am,0,0
Fis-52356,NA,Cyclothone alba,190300,Stable,LC,NA,NA,NA,am,0,0
Fis-29880,NA,Cyclothone braueri,198757,Stable,LC,NA,NA,NA,am,0,0
Fis-23454,NA,Cyclothone microdon,190133,Stable,LC,NA,NA,NA,am,0,0
Fis-32102,NA,Cyclothone pallida,18252619,Stable,LC,NA,NA,NA,am,0,0
Fis-32103,NA,Cyclothone pseudopallida,18252629,Stable,LC,NA,NA,NA,am,0,0
Fis-33181,NA,Cyema atrum,18227109,Unknown,LC,NA,NA,NA,am,0,NA
Fis-53660,NA,Cyttopsis rosea,16439757,Stable,LC,NA,NA,NA,am,0,0
Fis-23101,NT,Dalatias licha,6229,Unknown,NT,NA,NA,NA,am,0.2,NA
Fis-50433,NA,Danaphryne nigrifilis,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-23103,LC,Deania calcea,41798,Unknown,LC,NA,NA,NA,am,0,NA
Fis-32362,LC,Derichthys serpentinus,155093,Unknown,LC,NA,NA,NA,am,0,NA
Fis-49951,LC,Diaphus diadematus,154616,Unknown,LC,NA,NA,NA,am,0,NA
Fis-23472,LC,Diaphus rafinesquii,154729,Unknown,LC,NA,NA,NA,am,0,NA
Fis-31163,NA,Dibranchus atlanticus,20663855,Unknown,LC,NA,NA,NA,am,0,NA
Fis-143532,NA,Dibranchus tremendus,20663917,Unknown,LC,NA,NA,NA,am,0,NA
Fis-22755,LC,Dicentrarchus labrax,135606,Unknown,LC,NA,NA,NA,am,0,NA
Fis-33804,NA,Diceratias pileatus,190089,Unknown,LC,NA,NA,NA,am,0,NA
Fis-64564,NA,Dicrolene introniger,60470322,Unknown,LC,NA,NA,NA,am,0,NA
Fis-22763,NA,Diplecogaster bimaculata,198606,Unknown,LC,NA,NA,NA,am,0,NA
Fis-131824,CR,Dipturus batis,39397,Decreasing,CR,NA,NA,NA,am,0.8,-0.5
Fis-132537,NT,Dipturus nidarosiensis,161729,Decreasing,NT,NA,NA,NA,am,0.2,-0.5
Fis-131842,NT,Dipturus oxyrinchus,63100,Unknown,NT,NA,NA,NA,am,0.2,NA
Fis-27275,NA,Diretmoides pauciradiatus,21110056,Unknown,LC,NA,NA,NA,am,0,NA
Fis-31164,NA,Diretmus argenteus,18124015,Unknown,LC,NA,NA,NA,am,0,NA
Fis-139531,NA,Dolopichthys allector,42830260,Unknown,LC,NA,NA,NA,am,0,NA
Fis-50439,NA,Dolopichthys danae,61934241,Unknown,LC,NA,NA,NA,am,0,NA
Fis-50449,NA,Dolopichthys longicornis,190278,Unknown,LC,NA,NA,NA,am,0,NA
Fis-50462,NA,Dolopichthys pullatus,60470361,Unknown,DD,NA,NA,NA,am,NA,NA
Fis-27300,NA,Dysomma brevirostre,194989,Unknown,LC,NA,NA,NA,am,0,NA
Fis-62845,NA,Ebinania costaecanariae,15622740,Unknown,LC,NA,NA,NA,am,0,NA
Fis-23113,DD,Echinorhinus brucus,41801,Unknown,DD,NA,NA,NA,am,NA,NA
Fis-62865,NA,Echiodon drummondii,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-31237,NA,Ectreposebastes imus,15622831,Unknown,LC,NA,NA,NA,am,0,NA
Fis-23486,NA,Enchelyopus cimbrius,15522054,Unknown,LC,NA,NA,NA,am,0,NA
Fis-22756,NA,Engraulis encrasicolus,198568,Decreasing,LC,NA,NA,NA,am,0,-0.5
Fis-24553,NA,Enophrys diceraus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-22757,NA,Entelurus aequoreus,18258072,Stable,LC,NA,NA,NA,am,0,0
Fis-29952,NA,Epigonus denticulatus,198652,Unknown,LC,NA,NA,NA,am,0,NA
Fis-24013,NA,Epigonus telescopus,198653,Unknown,LC,NA,NA,NA,am,0,NA
Fis-29383,DD,Etmopterus princeps,60242,Unknown,DD,NA,NA,NA,am,NA,NA
Fis-23124,LC,Etmopterus spinax,161388,Unknown,LC,NA,NA,NA,am,0,NA
Fis-30014,NA,Euleptorhamphus velox,15521852,Unknown,LC,NA,NA,NA,am,0,NA
Fis-24610,NA,Eumesogrammus praecisus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-125602,NA,Eumicrotremus andriashevi,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-30812,NA,Eumicrotremus derjugini,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-24612,NA,Eumicrotremus spinosus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-31004,NA,Eurypharynx pelecanoides,18227119,Unknown,LC,NA,NA,NA,am,0,NA
Fis-34804,NA,Eustomias dendriticus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-22760,NA,Eutrigla gurnardus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-30031,NA,Gadiculus argenteus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-3399,NA,Gadiculus thori,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-126681,NA,Gadomus dispar,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-29394,VU,Gadus morhua,8784,NA,VU,NA,NA,NA,am,0.4,NA
Fis-29395,NA,Gadus ogac,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-27009,NA,Gaidropsarus argentatus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-23505,LC,Gaidropsarus macrophthalmus,154880,Unknown,LC,NA,NA,NA,am,0,NA
Fis-23506,NA,Gaidropsarus mediterraneus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-23507,NA,Gaidropsarus vulgaris,198590,Stable,LC,NA,NA,NA,am,0,0
Fis-25233,VU,Galeorhinus galeus,39352,Decreasing,VU,NA,NA,NA,am,0.4,-0.5
Fis-29397,LC,Galeus melastomus,161398,Stable,LC,NA,NA,NA,am,0,0
Fis-23133,LC,Galeus murinus,161705,Unknown,LC,NA,NA,NA,am,0,NA
Fis-30039,LC,Gasterosteus aculeatus,8951,Stable,LC,NA,NA,NA,am,0,0
Fis-50600,NA,Gigantactis vanhoeffeni,60470687,Unknown,DD,NA,NA,NA,am,NA,NA
Fis-22723,NA,Glyptocephalus cynoglossus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-22761,NA,Gobiusculus flavescens,18159817,Stable,LC,NA,NA,NA,am,0,0
Fis-132767,NA,Guttigadus latifrons,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-22762,NA,Gymnammodytes semisquamatus,18155963,Unknown,LC,NA,NA,NA,am,0,NA
Fis-116315,NA,Gymnelus hemifasciatus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-47660,NA,Gymnelus retrodorsalis,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-24653,NA,Gymnocanthus tricuspis,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-27265,NA,Gymnothorax maderensis,190250,Unknown,LC,NA,NA,NA,am,0,NA
Fis-30085,NA,Halargyreus johnsonii,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-33135,NA,Halosaurus guentheri,190196,Unknown,LC,NA,NA,NA,am,0,NA
Fis-50614,NA,Haplophryne mollis,60470770,Unknown,LC,NA,NA,NA,am,0,NA
Fis-31217,LC,Harriotta raleighana,60140,Stable,LC,NA,NA,NA,am,0,0
Fis-22764,NA,Helicolenus dactylopterus,195093,Unknown,LC,NA,NA,NA,am,0,NA
Fis-24768,LC,Hemilepidotus papilio,154722,Unknown,LC,NA,NA,NA,am,0,NA
Fis-27984,NA,Herwigia kreffti,15148858,Unknown,LC,NA,NA,NA,am,0,NA
Fis-23157,NT,Hexanchus griseus,10030,Unknown,NT,NA,NA,NA,am,0.2,NA
Fis-50396,NA,Himantolophus albinares,60470792,Unknown,DD,NA,NA,NA,am,NA,NA
Fis-30110,NA,Himantolophus groenlandicus,18127836,Unknown,LC,NA,NA,NA,am,0,NA
Fis-24675,NA,Hippoglossoides platessoides,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-30819,NA,Hippoglossoides robustus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-23548,EN,Hippoglossus hippoglossus,10097,NA,EN,NA,NA,NA,am,0.6,NA
Fis-26350,NA,Histiobranchus bathybius,199249,Unknown,DD,NA,NA,NA,am,NA,NA
Fis-34480,NA,Holtbyrnia anomala,18155939,Unknown,LC,NA,NA,NA,am,0,NA
Fis-28112,NA,Holtbyrnia innesi,21104612,Unknown,LC,NA,NA,NA,am,0,NA
Fis-34502,NA,Holtbyrnia macrops,18155943,Unknown,LC,NA,NA,NA,am,0,NA
Fis-29419,NA,Hoplostethus atlanticus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-31166,NA,Hoplostethus mediterraneus,198579,Unknown,LC,NA,NA,NA,am,0,NA
Fis-34831,NA,Howella brodiei,20665743,Unknown,LC,NA,NA,NA,am,0,NA
Fis-27249,NT,Hydrolagus mirabilis,63104,Decreasing,NT,NA,NA,NA,am,0.2,-0.5
Fis-63099,LC,Hydrolagus pallidus,63103,Unknown,LC,NA,NA,NA,am,0,NA
Fis-25165,NA,Hygophum reinhardtii,15598887,Unknown,LC,NA,NA,NA,am,0,NA
Fis-49043,NA,Hygophum taaningi,15598938,Unknown,LC,NA,NA,NA,am,0,NA
Fis-53281,NA,Hymenogadus gracilis,60471195,Unknown,DD,NA,NA,NA,am,NA,NA
Fis-23559,NA,Hyperoplus lanceolatus,18155982,Unknown,LC,NA,NA,NA,am,0,NA
Fis-24702,NA,Icelus bicornis,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-30828,NA,Icelus spatula,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-58485,VU,Isurus oxyrinchus,39341,Decreasing,VU,NA,NA,NA,am,0.4,-0.5
Fis-50459,LC,Kali macrodon,155106,Unknown,LC,NA,NA,NA,am,0,NA
Fis-50466,NA,Kali macrura,60471825,Unknown,LC,NA,NA,NA,am,0,NA
Fis-22768,VU,Lamna nasus,11200,Decreasing,VU,NA,NA,NA,am,0.4,-0.5
Fis-49987,LC,Lampadena pontifex,154859,Stable,LC,NA,NA,NA,am,0,0
Fis-49988,NA,Lampadena speculigera,60471855,Unknown,LC,NA,NA,NA,am,0,NA
Fis-23165,NA,Lampanyctus crocodilus,198618,Unknown,LC,NA,NA,NA,am,0,NA
Fis-32123,NA,Lampanyctus intricarius,15599070,Unknown,LC,NA,NA,NA,am,0,NA
Fis-48156,NA,Lampanyctus photonotus,60471860,Unknown,LC,NA,NA,NA,am,0,NA
Fis-25147,LC,Lampetra fluviatilis,NA,NA,LC,NA,NA,NA,am,0,NA
Fis-23580,NA,Lampris guttatus,195038,Unknown,LC,NA,NA,NA,am,0,NA
Fis-27226,NA,Lamprogrammus brunswigi,60471877,Unknown,LC,NA,NA,NA,am,0,NA
Fis-33110,NA,Lamprogrammus niger,60471901,Unknown,LC,NA,NA,NA,am,0,NA
Fis-124376,NA,Lasiognathus beebei,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-23170,NA,Lebetus scorpioides,18159823,Stable,LC,NA,NA,NA,am,0,0
Fis-24087,DD,Lepidion eques,154838,Unknown,DD,NA,NA,NA,am,NA,NA
Fis-53173,NA,Lepidion schmidti,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-23173,NA,Lepidopus caudatus,198721,Unknown,DD,NA,NA,NA,am,NA,NA
Fis-22725,NA,Lepidorhombus whiffiagonis,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-24406,NA,Leptagonus decagonus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-49057,NA,Leptoclinus maculatus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-26637,NA,Lesueurigobius friesii,198665,Unknown,LC,NA,NA,NA,am,0,NA
Fis-63912,LC,Lethenteron camtschaticum,135719,Unknown,LC,NA,NA,NA,am,0,NA
Fis-132546,NT,Leucoraja fullonica,161461,Decreasing,VU,NA,NA,NA,am,0.4,-0.5
Fis-12972,NA,Limanda limanda,18214863,Increasing,LC,NA,NA,NA,am,0,0.5
Fis-17283,NA,Limanda proboscidea,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-50631,NA,Linophryne coronata,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-50633,NA,Linophryne pennibarbata,21112898,Unknown,LC,NA,NA,NA,am,0,NA
Fis-24741,LC,Liopsetta glacialis,135574,Unknown,LC,NA,NA,NA,am,0,NA
Fis-125615,NA,Liparis bristolensis,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-47519,NA,Liparis fabricii,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-30835,NA,Liparis gibbus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-23598,LC,Liparis liparis,154644,Unknown,LC,NA,NA,NA,am,0,NA
Fis-23599,NA,Liparis montagui,18237707,Unknown,LC,NA,NA,NA,am,0,NA
Fis-30842,NA,Liparis tunicatus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-23602,LC,Liza aurata,135579,Unknown,LC,NA,NA,NA,am,0,NA
Fis-29433,NA,Lophius piscatorius,198610,Unknown,LC,NA,NA,NA,am,0,NA
Fis-49079,NA,Lophodolos acanthognathus,190157,Unknown,LC,NA,NA,NA,am,0,NA
Fis-50465,LC,Lophodolos indicus,154698,Unknown,LC,NA,NA,NA,am,0,NA
Fis-33111,NA,Luciobrotula corethromycter,190262,Unknown,LC,NA,NA,NA,am,0,NA
Fis-138093,NA,Luciobrotula nolfi,60475013,Unknown,LC,NA,NA,NA,am,0,NA
Fis-33221,NA,Luciosudis normani,13485161,Unknown,LC,NA,NA,NA,am,0,NA
Fis-24751,NA,Lumpenus fabricii,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-47903,NA,Lumpenus lampretaeformis,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-116692,NA,Lycenchelys alba,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-47451,NA,Lycenchelys kolthoffi,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-47668,NA,Lycenchelys sarsii,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-58175,NA,Lycodes esmarkii,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-57414,NA,Lycodes eudipleurostictus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-47448,NA,Lycodes frigidus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-62883,NA,Lycodes gracilis,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-30261,LC,Lycodes jugoricus,154953,Unknown,LC,NA,NA,NA,am,0,NA
Fis-62488,NA,Lycodes mucosus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-143668,LC,Lycodes paamiuti,155204,Unknown,LC,NA,NA,NA,am,0,NA
Fis-30263,NA,Lycodes palearis,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-30264,NA,Lycodes pallidus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-24756,NA,Lycodes polaris,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-117079,NA,Lycodes raridens,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-30265,NA,Lycodes reticulatus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-30266,NA,Lycodes rossi,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-30267,NA,Lycodes sagittarius,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-57417,NA,Lycodes seminudus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-47447,NA,Lycodes squamiventer,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-139728,NA,Lycodes terraenovae,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-30268,NA,Lycodes turneri,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-47966,NA,Lycodes vahlii,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-49081,NA,Lycodonus flagellicauda,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-49832,NA,Macroparalepis affinis,13485631,Unknown,LC,NA,NA,NA,am,0,NA
Fis-22897,LC,Macroramphosus scolopax,155030,Unknown,LC,NA,NA,NA,am,0,NA
Fis-48978,NA,Macrouroides inflaticeps,60475627,Unknown,LC,NA,NA,NA,am,0,NA
Fis-29445,NA,Macrourus berglax,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-47643,NA,Magnisudis atlantica,13485635,Unknown,LC,NA,NA,NA,am,0,NA
Fis-25410,NA,Malacocephalus laevis,190093,Unknown,LC,NA,NA,NA,am,0,NA
Fis-54405,LC,Malacoraja spinacidermis,63126,Unknown,LC,NA,NA,NA,am,0,NA
Fis-33790,NA,Malacosteus niger,190149,Unknown,LC,NA,NA,NA,am,0,NA
Fis-22900,NA,Mallotus villosus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-33786,NA,Maulisia mauli,18155946,Unknown,LC,NA,NA,NA,am,0,NA
Fis-149567,NA,Maurolicus amethystinopunctatus,60476220,Unknown,LC,NA,NA,NA,am,0,NA
Fis-23185,NA,Maurolicus muelleri,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-125893,NA,Maurolicus weitzmani,190313,Unknown,LC,NA,NA,NA,am,0,NA
Fis-24767,NA,Megalocottus platycephalus,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-33155,NA,Melamphaes longivelis,60477122,Unknown,DD,NA,NA,NA,am,NA,NA
Fis-51000,NA,Melamphaes polylepis,60477337,Unknown,DD,NA,NA,NA,am,NA,NA
Fis-50301,NA,Melamphaes simus,21132822,Unknown,LC,NA,NA,NA,am,0,NA
Fis-23633,VU,Melanogrammus aeglefinus,13045,NA,VU,NA,NA,NA,am,0.4,NA
Fis-139729,NA,Melanolagus bericoides,190485,Unknown,LC,NA,NA,NA,am,0,NA
Fis-30286,NA,Melanostigma atlanticum,198723,Unknown,LC,NA,NA,NA,am,0,NA
Fis-34829,NA,Melanostomias niger,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-49729,NA,Mentodus facilis,60479648,Unknown,LC,NA,NA,NA,am,0,NA
Fis-49711,NA,Mentodus rostratus,60481184,Unknown,LC,NA,NA,NA,am,0,NA
Fis-22726,NA,Merlangius merlangus,198585,Unknown,LC,NA,NA,NA,am,0,NA
Fis-22727,NA,Merluccius merluccius,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-62885,NA,Micrenophrys lilljeborgii,18237151,Unknown,LC,NA,NA,NA,am,0,NA
Fis-50469,NA,Microlophichthys microlophus,42830277,Unknown,LC,NA,NA,NA,am,0,NA
Fis-22729,NA,Micromesistius poutassou,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-23638,NA,Microstomus kitt,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-23639,NA,Mola mola,190422,Decreasing,VU,NA,NA,NA,am,0.4,-0.5
Fis-23641,NA,Molva dypterygia,198592,Unknown,LC,NA,NA,NA,am,0,NA
Fis-22730,NA,Molva molva,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-23643,NA,Mora moro,198602,Unknown,LC,NA,NA,NA,am,0,NA
Fis-29454,LC,Mugil cephalus,135567,Stable,LC,NA,NA,NA,am,0,0
Fis-30320,NA,Mullus surmuletus,198674,Unknown,LC,NA,NA,NA,am,0,NA
Fis-31597,LC,Mustelus asterias,39357,Unknown,LC,NA,NA,NA,am,0,NA
Fis-30329,NA,Myctophum punctatum,190453,Stable,LC,NA,NA,NA,am,0,0
Fis-24809,LC,Myoxocephalus quadricornis,14214,Stable,LC,NA,NA,NA,am,0,0
Fis-24810,NA,Myoxocephalus scorpioides,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-23653,NA,Myoxocephalus scorpius,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-30336,LC,Myxine glutinosa,196057,Unknown,LC,NA,NA,NA,am,0,NA
Fis-33010,LC,Myxine ios,196060,Unknown,LC,NA,NA,NA,am,0,NA
Fis-23655,NA,Nansenia groenlandica,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-23192,NA,Naucrates ductor,190452,Stable,LC,NA,NA,NA,am,0,0
Fis-63152,NA,Neocyttus helgae,NA,NA,NA,NA,NA,NA,am,NA,NA
Fis-49750,NA,Neonesthes microcephalus,21133058,Unknown,LC,NA,NA,NA,am,0,NA
Fis-26617,NA,Nerophis lumbriciformis,18258202,Unknown,LC,NA,NA,NA,am,0,NA
Fis-23666,NA,Nerophis ophidion,198764,Unknown,LC,NA,NA,NA,am,0,NA
Fis-32421,NA,Nesiarchus nasutus,18158583,Stable,LC,NA,NA,NA,am,0,0
