species,pop_cat
Corella parallelogramma,NA
Rhodosoma turcicum,NA
Pseudodiazona abyssa,NA
Didemnum candidum,NA
Didemnum carnulentum,NA
Didemnum maculosum,NA
Diplosoma listerianum,NA
Diplosoma macdonaldi,NA
Leptoclinides faeroensis,NA
Lissoclinum aureum,NA
Achelia echinata,NA
Octacnemus ingolfi,NA
Aplidium glabrum,NA
Polyclinum aurantium,NA
Paranymphon spinosum,NA
Synoicum pulmonaria,NA
Achelia laevis,NA
Asajirus indicus,NA
Asajirus ledanoisi,NA
Sericosura mitrata,NA
Oligotrema unigonas,NA
Eugyra arenosa,NA
Minipera papillosa,NA
Molgula citrina,NA
Molgula complanata,NA
Molgula herdmani,NA
Molgula manhattensis,NA
Molgula occulta,NA
Molgula oculata,NA
Molgula retortiformis,NA
Boltenia echinata,NA
Boltenia ovifera,NA
Boltenia pilosa,NA
Halocynthia pyriformis,NA
Microcosmus claudicans,NA
Pyura microcosmus,NA
Pyura squamulosa,NA
Pyura stolonifera,NA
Pyura tessellata,NA
Bathystyeloides enderbyanus,NA
Botryllus schlosseri,NA
Cnemidocarpa devia,NA
Cnemidocarpa finmarkiensis,NA
Dendrodoa grossularia,NA
Dicarpa simplex,NA
Kukenthalia borealis,NA
Austrodecus conifer,NA
Pelonaia corrugata,NA
Polycarpa fibrosa,NA
Polycarpa gracilis,NA
Polycarpa pomaria,NA
Polycarpa pseudoalbatrossi,NA
Styela chaini,NA
Styela charcoti,NA
Styela coriacea,NA
Styela loculosa,NA
Styela similis,NA
Styela squamosa,NA
Pegea confoederata,NA
Salpa fusiformis,NA
Salpa maxima,NA
Soestia zonaria,NA
Thetys vagina,NA
Pantopipetta armoricana,NA
Balanoglossus clavigerus,NA
Pantopipetta longituberculata,NA
Callipallene acus,NA
Callipallene brevirostris,NA
Callipallene phantoma,NA
Callipallene spectrum,NA
Pseudopallene brevicollis,NA
Pseudopallene circularis,NA
Colossendeis angusta,NA
Colossendeis arcuata,NA
Colossendeis colossea,NA
Colossendeis macerrima,NA
Colossendeis minor,NA
Achelia spinosa,NA
Endeis spinosa,NA
Boreonymphon robustum,NA
Nymphon brevirostre,NA
Nymphon brevitarse,NA
Nymphon chainae,NA
Nymphon gracile,NA
Nymphon grossipes,NA
Nymphon hirtipes,NA
Nymphon hirtum,NA
Nymphon leptocheles,NA
Nymphon longitarse,NA
Nymphon macronyx,NA
Nymphon macrum,NA
Nymphon rubrum,NA
Nymphon serratum,NA
Nymphon sluiteri,NA
Anoplodactylus angulatus,NA
Atolla vanhoeffeni,NA
Atolla wyvillei,NA
Nausithoe punctata,NA
Pelagia noctiluca,NA
Aurelia aurita,NA
Caryophyllia calveri,NA
Caryophyllia smithii,NA
Cladocora debilis,NA
Coenocyathus cylindricus,NA
Desmophyllum dianthus,NA
Lophelia pertusa,NA
Paracyathus pulchellus,NA
Madrepora oculata,NA
Astrangia solitaria,NA
Sphenotrochus andrewianus,NA
Epizoanthus incrustatus,NA
Rugiloricus cauliculus,NA
Pleurobrachia pileus,NA
Notocelis gullmarensis,NA
Astropecten aranciacus,NA
Astropecten irregularis,NA
Ctenodiscus crispatus,NA
Henricia sanguinolenta,NA
Pteraster militaris,NA
Crossaster papposus,NA
Solaster endeca,NA
Paromola cuvieri,NA
Segonzacia mesatlantica,NA
Cancer bellianus,NA
Cancer pagurus,NA
Pirimela denticulata,NA
Thia scutellata,NA
Hyas araneus,NA
Macropodia longirostris,NA
Maja squinado,NA
Chaceon affinis,NA
Bathynectes maravigna,NA
Carcinus maenas,NA
Liocarcinus corrugatus,NA
Liocarcinus navigator,NA
Eriocheir sinensis,NA
Pilumnoides perlatus,NA
Lophozozymus incisus,NA
Meganyctiphanes norvegica,NA
Nematobrachion sexspinosum,NA
Stylocheiron maximum,NA
Cryptopora gnomon,NA
Terebratulina retusa,NA
Gwynia capsula,NA
Platidia anomioides,NA
Pelagodiscus atlanticus,NA
Novocrania anomala,NA
Reptadeonella violacea,NA
Aetea anguina,NA
Aetea truncata,NA
Bicellariella ciliata,NA
Bugula plumosa,NA
Callopora dumerilii,NA
Callopora lineata,NA
Parellisina curvirostris,NA
Caberea boryi,NA
Scrupocellaria scrupea,NA
Scrupocellaria scruposa,NA
Chorizopora brongniartii,NA
Membraniporella nitida,NA
Membranipora membranacea,NA
Microporella ciliata,NA
Escharella variolosa,NA
Schizoporella unicornis,NA
Scruparia chelata,NA
Bowerbankia gracilis,NA
Tubulipora liliacea,NA
Disporella fimbriata,NA
Jellyella tuberculata,NA
Branchiostoma lanceolatum,NA
Eukrohnia bathypelagica,NA
Eukrohnia hamata,NA
Caecosagitta macrocephala,NA
Parasagitta elegans,NA
Parasagitta friderici,NA
Pseudosagitta maxima,NA
Serratosagitta serratodentata,NA
Iphinoe trispinosa,NA
Echinus acutus,NA
Echinus esculentus,NT
Strongylocentrotus droebachiensis,NA
Strongylocentrotus pallidus,NA
Echinocardium cordatum,NA
Haplognathia rosea,NA
Halichaetonotus aculifer,NA
Draculiciteria tesselata,NA
Heteroxenotrichula squamosa,NA
Xenotrichula intermedia,NA
Xenotrichula punctata,NA
Dolichodasys elongatus,NA
Mesodasys laticaudatus,NA
Macrodasys caudatus,NA
Acanthodasys aculeatus,NA
Diplodasys ankeli,NA
Platydasys maximus,NA
Platydasys ocellatus,NA
Tetranchyroderma tribolosum,NA
Paraturbanella teissieri,NA
Turbanella cornuta,NA
Halichaetonotus decipiens,NA
Tetranchyroderma cirrophorum,NA
Tetranchyroderma megastomum,NA
Aegina citrea,NA
Solmundella bitentaculata,NA
Bimeria vestita,NA
Bougainvillia muscus,NA
Clytia hemisphaerica,NA
Clytia paulensis,NA
Obelia bidentata,NA
Obelia dichotoma,NA
Obelia geniculata,NA
Calycella syringa,NA
Lafoeina maxima,NA
Cladonema radiatum,NA
Cordylophora caspia,NA
Dipurena halterata,NA
Eutonina indicans,NA
Helgicirrha schulzei,NA
Eudendrium capillare,NA
Eudendrium rameum,NA
Eudendrium ramosum,NA
Halecium delicatulum,NA
Halecium nanum,NA
Halecium tenellum,NA
Acryptolaria conferta,NA
Filellum serratum,NA
Lafoea dumosa,NA
Melicertum octocostatum,NA
Amphinema rugosum,NA
Pennaria disticha,NA
Phialella quadrata,NA
Plumularia setacea,NA
Abietinaria abietina,NA
Sertularella gayi,NA
Sertularella polyzonias,NA
Solmaris corona,NA
Pliobothrus symmetricus,NA
Stylaster gemmascens,NA
Modeeria rotunda,NA
Ectopleura dumortierii,NA
Lensia conoidea,NA
Muggiaea atlantica,NA
Sulculeolaria biloba,NA
Agalma elegans,NA
Physophora hydrostatica,NA
Coryne eximia,NA
Halecium beanii,NA
Chelophyes contorta,NA
Cunina duplicata,NA
Crypthelia pudica,NA
Stylaster roseus,NA
Bopyroides hippolytes,NA
Anthura gracilis,NA
Cyathura carinata,NA
Calathura brachiata,NA
Eugerda tenuimana,NA
Munnopsurus giganteus,NA
Haploniscus ingolfi,NA
Heteromesus frigidus,NA
Ianiropsis breviremis,NA
Janira maculosa,NA
Munna fabricii,NA
Austroniscus norbi,NA
Eurydice affinis,NA
Eurydice inermis,NA
Natatolana borealis,NA
Natatolana caeca,NA
Limnoria lignorum,NA
Gnathia dentata,NA
Gnathia maxillaris,NA
Astacilla arietina,NA
Astacilla intermedia,NA
Astacilla longicornis,NA
Saduria sabini,NA
Idotea emarginata,NA
Idotea metallica,NA
Idotea neglecta,NA
Arcturus baffini,NA
Antarcturus horridus,NA
Antarcturus polaris,NA
Antarcturus spinacoronatus,NA
Dolichiscus meridionalis,NA
Litarcturus lillei,NA
Natatolana intermedia,NA
Natatolana meridionalis,NA
Euneognathia gigas,NA
Eisothistos antarcticus,NA
Austrofilius furcatus,NA
Munna antarctica,NA
Munna globicauda,NA
Cymodocella tubicauda,NA
Austroniscus ovalis,NA
Eugerda intermedia,NA
Dynamene bidentata,NA
Caecognathia hodgsoni,NA
Santia charcoti,NA
Entophilus omnitectus,NA
Pagonana rostrata,NA
Haplomesus angustus,NA
Acanthochitona fascicularis,NA
Aeolidia papillosa,NA
Anomia ephippium,NA
Pododesmus patelliformis,NA
Aplysia fasciata,NA
Bursatella leachii,NA
Arca tetragona,NA
Bathyarca frielei,NA
Bathyarca glacialis,NA
Arctica islandica,NA
Argonauta argo,LC
Astarte borealis,NA
Astarte crenata,NA
Astarte elliptica,NA
Astarte montagui,NA
Japetella diaphana,LC
Brachioteuthis riisei,DD
Buccinum glaciale,NA
Buccinum hydrophanum,NA
Buccinum micropoma,NA
Buccinum nivale,NA
Buccinum undatum,NA
Colus islandicus,NA
Neptunea despecta,NA
Volutopsius norwegicus,NA
Calyptraea chinensis,NA
Admete viridula,NA
Acanthocardia aculeata,NA
Cerastoderma glaucum,NA
Laevicardium crassum,NA
Styliola subula,NA
Bittium reticulatum,NA
Chaetoderma nitidulum,NA
Falcidens crossotus,NA
Falcidens sagittiferus,NA
Cadlina laevis,NA
Clione limacina,NA
Nepotilla amoena,NA
Oenopota obliqua,NA
Corbula gibba,NA
Bathothauma lyromma,LC
Helicocranchia pfefferi,DD
Cardiomya striata,NA
Cuspidaria arctica,NA
Cuspidaria glacialis,NA
Cylichna alba,NA
Cylichna cylindracea,NA
Scaphander punctostriatus,NA
Dendronotus frondosus,NA
Dendronotus robustus,NA
Diaphana hiemalis,NA
Diaphana minuta,NA
Geitodoris planata,NA
Geitodoris pusae,NA
Donax trunculus,NA
Donax vittatus,NA
Nematomenia banyulensis,NA
Gyroscala lamellosa,NA
Eubranchus exiguus,NA
Facelina bostoniensis,NA
Puncturella noachina,NA
Glycymeris glycymeris,NA
Neopycnodonte cochlear,NA
Hanleya hanleyi,NA
Hiatella arctica,NA
Callochiton septemvalvis,NA
Ischnochiton albus,NA
Tonicella marmorea,NA
Tonicella rubra,NA
Marsenina glabra,NA
Lepeta caeca,NA
Leptochiton alveolus,NA
Leptochiton asellus,NA
Leptochiton cancellatus,NA
Limacina helicina,NA
Limacina retroversa,NA
Lima lima,NA
Limatula subauriculata,NA
Scutopus robustus,NA
Scutopus ventrolineatus,NA
Limopsis aurita,NA
Littorina obtusata,NA
Littorina saxatilis,NA
Erginus rubellus,NA
Lucinella divaricata,NA
Myrtea spinifera,NA
Lutraria angustior,NA
Spisula elliptica,NA
Spisula solida,NA
Trophon clathratus,NA
Mya truncata,NA
Crenella decussata,NA
Modiolula phaseolina,NA
Modiolus adriaticus,NA
Modiolus barbatus,NA
Modiolus modiolus,NA
Musculus costulatus,NA
Musculus discors,NA
Musculus niger,NA
Mytilus edulis,NA
Mytilus galloprovincialis,NA
Perna perna,NA
Amauropsis islandica,NA
Cryptonatica affinis,NA
Euspira catena,NA
Striarca lactea,NA
Nuculana pernula,NA
Ennucula tenuis,NA
Nucula hanleyi,NA
Nucula nucleus,NA
Nucula sulcata,NA
Bathypolypus arcticus,NA
Eledone cirrhosa,NA
Omalogyra atomus,NA
Illex coindetii,LC
Todarodes sagittatus,LC
Acanthodoris pilosa,NA
Adalaria proxima,NA
Onchidoris muricata,NA
Onychoteuthis banksii,DD
Ostrea edulis,NA
Patella ulyssiponensis,NA
Aequipecten opercularis,NA
Chlamys islandica,NA
Cyclopecten imbrifer,NA
Delectopecten vitreus,NA
Pecten maximus,NA
Mysia undata,NA
Ensis siliqua,NA
Pharus legumen,NA
Philine aperta,NA
Philine quadrata,NA
Zirfaea crispata,NA
Berthella plumula,NA
Janolus hyalinus,NA
Dorymenia sarsii,NA
Gari depressa,NA
Gari fervensis,NA
Turbonilla amoena,NA
Retusa obtusa,NA
Retusa truncatula,NA
Rhopalomenia aglaopheniae,NA
Alvania scrobiculata,NA
Frigidoalvania janmayeni,NA
Onoba aculeus,NA
Onoba leptalea,NA
Onoba mighelsii,NA
Scrobicularia plana,NA
Sepia officinalis,LC
Neorossia caroli,LC
Sepietta neglecta,DD
Sepietta oweniana,DD
Placida dendritica,NA
Macoma balthica,NA
Macoma calcarea,NA
Tellina tenuis,NA
Teredo navalis,NA
Cuthona viridis,NA
Thyasira flexuosa,NA
Gibbula magus,NA
Margarites groenlandicus,NA
Margarites helicinus,NA
Margarites olivaceus,NA
Solariella obscura,NA
Turritella communis,NA
Vampyroteuthis infernalis,NA
Velutina plicatilis,NA
Velutina velutina,NA
Chamelea gallina,NA
Clausinella fasciata,NA
Dosinia exoleta,NA
Dosinia lupinus,NA
Venus verrucosa,NA
Vitreledonella richardi,LC
Megayoldia thraciaeformis,NA
Portlandia arctica,NA
Yoldiella frigida,NA
Yoldiella lucida,NA
Yoldiella solidula,NA
Yoldiella subaequilatera,NA
Chaetoderma productum,NA
Cylichna magna,NA
Scabrotrophon fabricii,NA
Galiteuthis armata,LC
Rossia palpebrosa,LC
Illex illecebrosus,LC
Grimpoteuthis wuelkeri,DD
Gonatus fabricii,LC
Stauroteuthis syrtensis,DD
Cuthona gymnota,NA
Flabellina verrucosa,NA
Macoma loveni,NA
Rossia moelleri,LC
Tachyrhynchus reticulatus,NA
Flabellina gracilis,NA
Flabellina nobilis,NA
Flabellina salmonacea,NA
Astarte castanea,NA
Astarte undata,NA
Crenella glandula,NA
Lucinoma filosa,NA
Clinocardium ciliatum,NA
Mysella triquetra,NA
Nucula delphinodonta,NA
Nucula proxima,NA
Nuculana tenuisulcata,NA
Pitar morrhuanus,NA
Solemya grandis,NA
Solemya velum,NA
Yoldia limatula,NA
Yoldia sapotilla,NA
Graneledone verrucosa,NA
Pyroteuthis margaritifera,LC
Limneria undata,NA
Cylichna gouldii,NA
Buccinum sericatum,NA
Buccinum finmarkianum,NA
Curtitoma violacea,NA
Pleurobranchus areolatus,NA
Ommastrephes bartramii,LC
Cranchia scabra,LC
Tachyrhynchus erosus,NA
Arca imbricata,NA
Thuridilla picta,NA
Lithophaga aristata,NA
Ruditapes decussatus,NA
Cyrtodaria kurriana,NA
Cryptochiton stelleri,NA
Pyrulofusus deformis,NA
Chlamys rubida,NA
Liocranchia reinhardti,LC
Cirroteuthis muelleri,LC
Hyaloteuthis pelagica,LC
Sandalops melancholicus,DD
Chlamys hastata,NA
Doridoxa ingolfiana,NA
Acanthocardia tuberculata,NA
Cyclopecten reticulus,NA
Delectopecten vancouverensis,NA
Brachidontes exustus,NA
Loligo forbesii,NA
Nucula crenulata,NA
Gregariella coralliophaga,NA
Modiolus americanus,NA
Musculus lateralis,NA
Arca zebra,NA
Limatula confusa,NA
Limatula hyalina,NA
Pododesmus rudis,NA
Pitar arestus,NA
Astarte esquimalti,NA
Haliotis rufescens,NA
Lucinoma annulata,NA
Modiolus rectus,NA
Lyonsia bracteata,NA
Xylophaga clenchi,NA
Doto pita,NA
Ostrea lurida,NA
Prochaetoderma californicum,NA
Dirona albolineata,NA
Tubulanus polymorphus,NA
Tetrastemma bicolor,NA
Pennatula phosphorea,NA
Ophiomusium lymani,NA
Ophiura albida,NA
Ophiura ophiura,NA
Amphipholis squamata,NA
Amphiura filiformis,NA
Ophiopholis aculeata,NA
Ophiothrix fragilis,NA
Acrocnida brachiata,NA
Ophiura sarsi,NA
Phoronis hippocrepia,NA
Phoronis muelleri,NA
Phoronis ovalis,NA
Phoronis psammophila,NA
Siboglinum ekmani,NA
Ampharete petersenae,NA
Amphicteis gunneri,NA
Arabella iricolor,NA
Capitella capitata,NA
Heteromastus filiformis,NA
Notomastus latericeus,NA
Aphelochaeta marioni,NA
Cirratulus cirratus,NA
Cossura longocirrata,NA
Marphysa bellii,NA
Pherusa plumosa,NA
Glycera capitata,NA
Goniada maculata,NA
Lumbrineris latreilli,NA
Maldane sarsi,NA
Aglaophamus malmgreni,NA
Hyalinoecia tubicola,NA
Nothria conchylega,NA
Ophelina acuminata,NA
Levinsenia gracilis,NA
Pholoe minuta,NA
Eulalia viridis,NA
Chone duneri,NA
Scalibregma inflatum,NA
Josephella marenzelleri,NA
Serpula vermicularis,NA
Dipolydora quadrilobata,NA
Laonice cirrata,NA
Polydora cornuta,NA
Spio filicornis,NA
Spiophanes kroyeri,NA
Eusyllis blomstrandi,NA
Syllis armillaris,NA
Loimia medusa,NA
Nicolea zostericola,NA
Thelepus setosus,NA
Terebellides stroemii,NA
Trichobranchus glacialis,NA
Syllis cornuta,NA
Typosyllis hyalina,NA
Salvatoria clavata,NA
Typosyllis cornuta,NA
Pseudexogone dineti,NA
Aphroceras ensata,NA
Leuconia nivea,NA
Leuconia pumila,NA
Spongia officinalis,NA
Bubaris vermiculata,NA
Halichondria panicea,NA
Phorbas fictitius,NA
Stelletta grubii,NA
Pachymatisma johnstonia,NA
Dercitus bucklandi,NA
Cliona celata,NA
Cliona lobata,NA
Pseudosuberites montiniger,NA
Suberites carnosus,NA
Tethya aurantium,NA
Amphilectus fucorum,NA
Leucetta primigenia,NA
Sarcotragus fasciculatus,NA
Leucosolenia macleayi,NA
Aplysilla sulfurea,NA
Haliclona simulans,NA
Priapulopsis bicaudatus,NA
Priapulus caudatus,NA
Fissidentalium candidum,NA
Fissidentalium capillosum,NA
Bathoxiphus ensiculus,NA
Entalina tetragona,NA
Cadulus artatus,NA
Cadulus gracilis,NA
Cadulus jeffreysi,NA
Cadulus propinquus,NA
Cadulus subfusiformis,NA
Siphonodentalium lobatum,NA
Pulsellum affine,NA
Pulsellum lofotense,NA
Antalis entalis,NA
Antalis agilis,NA
Antalis occidentalis,NA
Antalis vulgaris,NA
Heteroschismoides subterfissus,NA
Pulsellum lobatum,NA
Apseudes grossimanus,NA
Apseudes spinosus,NA
Apseudes talpa,NA
Sphyrapus malleolus,NA
Araphura brevimanus,NA
Agathotanais ingolfi,NA
Anarthrura simplex,NA
Leptognathia breviremis,NA
Leptognathia manca,NA
Pseudoparatanais batei,NA
Leptochelia savignyi,NA
Tanais dulongii,NA
Typhlotanais brevicornis,NA
Paratyphlotanais microcheles,NA
Typhlotanais aequiremis,NA
Typhlotanais tenuicornis,NA
Typhlotanais pulcher,NA
Pseudotanais forcipatus,NA
